race year,age group,gender,city,latitude,longitude,name
2002,20-30,female,Alterswil,46.7948597,7.2603813000000015,1
2002,20-30,female,Annecy,45.89908870000001,6.129541099999999,1
2002,20-30,female,Avenches,46.8806009,7.0427075,1
2002,20-30,female,Baden,40.6350668,-80.22811589999998,1
2002,20-30,female,Beaverton,45.49341039999999,-122.82039809999999,1
2002,20-30,female,Begnins,46.4408426,6.2477524,1
2002,20-30,female,Belmont-sur-Yverdon,46.74537580000001,6.624103,1
2002,20-30,female,Berne,40.6578242,-84.9519115,1
2002,20-30,female,Bernex,46.1771419,6.0764849000000005,1
2002,20-30,female,Berolle,46.558338,6.3369412,1
2002,20-30,female,Besançon,47.237829,6.0240538999999975,1
2002,20-30,female,Bettlach,47.2026836,7.424106599999999,1
2002,20-30,female,Bevaix,46.93074489999999,6.8151886999999975,1
2002,20-30,female,Corminboeuf,46.81115870000001,7.1058977,1
2002,20-30,female,Corsier-sur-Vevey,46.472524299999996,6.848285400000001,1
2002,20-30,female,Mignovillard,46.79167899999999,6.126571999999999,1
2002,20-30,female,Le Chenit,46.605779999999996,6.2325099999999996,1
2002,20-30,female,Ittigen,46.9761433,7.4818936,1
2002,20-30,female,Kaltbrunn,47.2133136,9.0250732,1
2002,20-30,female,Kriechenwil,46.911765100000004,7.2277918,1
2002,20-30,female,Kriens,47.034197799999994,8.277255199999999,1
2002,20-30,female,Köniz,46.89502299999999,7.351012799999999,1
2002,20-30,female,Küssnacht,47.08432370000001,8.4431621,1
2002,20-30,female,L'Abbaye,46.6210206,6.2706192000000005,1
2002,20-30,female,Les Diablerets,46.35138900000001,7.1580559999999975,1
2002,20-30,female,Courgenay,47.4031793,7.1268157999999975,1
2002,20-30,female,Les Rousses,46.48434,6.061806,1
2002,20-30,female,Adligenswil,47.071186,8.3647405,1
2002,20-30,female,Lonay,46.52664679999999,6.5205487,1
2002,20-30,female,Lufingen,47.4896701,8.594287199999998,1
2002,20-30,female,Massongy,46.3180679,6.330479,1
2002,20-30,female,Metzingen,48.53989970000001,9.2864061,1
2002,20-30,female,Meyrin,46.228320399999994,6.070988,1
2002,20-30,female,Isérables,46.16251219999999,7.2444663,1
2002,20-30,female,Homberg,46.773157299999994,7.679427599999999,1
2002,20-30,female,Hermenches,46.64196219999999,6.7602436,1
2002,20-30,female,Gutenberg,49.88009539999999,7.7992234,1
2002,20-30,female,Crans-près-Céligny,46.3598471,6.206461900000001,1
2002,20-30,female,Delémont,47.365837,7.3451555000000015,1
2002,20-30,female,Egnach,47.5287304,9.3698905,1
2002,20-30,female,Famat,7.783333,31.883333,1
2002,20-30,female,Ferney-Voltaire,46.25763200000001,6.108669,1
2002,20-30,female,Fully,46.1385386,7.1181106,1
2002,20-30,female,Gaiserwald,47.440205,9.3478461,1
2002,20-30,female,Genf,46.21059320000001,6.1440285,1
2002,20-30,female,Geroldswil,47.4239976,8.4117709,1
2002,20-30,female,Gimel,46.5089236,6.3070078,1
2002,20-30,female,Gorlice,49.654615899999996,21.159632100000003,1
2002,20-30,female,Grand-Saconnex,46.2331904,6.1231633,1
2002,20-30,female,Grandson,46.809209100000004,6.6457678,1
2002,20-30,female,Grenchen,47.1922876,7.3958907000000025,1
2002,20-30,female,Gryon,46.28317,7.07074,1
2002,20-30,female,Étagnières,46.5998975,6.612918500000001,1
2002,20-30,male,Lausanne,46.5196535,6.6322734,79
2002,20-30,male,Zürich,47.37688660000001,8.541694,21
