race year,age group,gender,category,city,canton,country,latitude,longitude
2002,30-40,male,21,Bern,BE,CH,46.9479739,7.447446799999999
2002,30-40,male,42,Biberist,SO,CH,47.1818339,7.5577799
2002,30-40,male,42,Farnern,BE,CH,47.26645,7.621929999999999
2002,30-40,male,42,Zürich,ZH,CH,47.37688660000001,8.541694
2002,30-40,male,42,Satigny,GE,CH,46.215764,6.0332425
2002,30-40,male,42,Biel/Bienne,BE,CH,47.1367785,7.2467909
2002,30-40,male,42,Villeret,BE,CH,47.1582786,7.0188916
2002,30-40,male,42,St-Imier,BE,CH,47.15222070000001,6.9962252000000005
2002,30-40,male,42,Ecublens,VD,CH,46.52963629999999,6.5615251999999975
2002,30-40,male,42,Riedholz,SO,CH,47.2301841,7.565355399999999
2002,30-40,male,42,Morlon,FR,CH,46.6249096,7.084923299999999
2002,40-50,female,10,Lajoux,JU,CH,47.278876000000004,7.1380555999999995
2002,40-50,female,10,Chippis,VS,CH,46.27950720000001,7.541926899999999
2002,40-50,female,10,Troistorrents,VS,CH,46.2312995,6.9194416
2002,40-50,female,10,Saxon,SC,US,34.9612325,-81.9673267
2002,40-50,female,10,Meyriez,FR,CH,46.9229256,7.1083283999999995
2002,40-50,female,10,Cugnasco,TI,CH,46.177659999999996,8.906089999999997
2002,40-50,female,10,La Chaux-de-Fonds,NE,CH,47.10348920000001,6.832783800000001
2002,40-50,female,10,Vétraz-Monthoux,Auvergne-Rhône-Alpes,FR,46.174611,6.258241
2002,40-50,female,10,Savigny,VD,CH,46.5383864,6.7321079
2002,40-50,female,10,Saint-Cergue,VD,CH,46.4460412,6.1581382000000024
2002,40-50,female,21,Ploemeur,Brittany,FR,47.735695,-3.42714
2002,40-50,female,21,Bettens,VD,CH,46.62798890000001,6.5773316999999984
2002,40-50,female,21,Saint-Légier-La Chiésaz,VD,CH,46.47171849999999,6.876770899999999
2002,40-50,female,21,Mühleberg,BE,CH,46.9548447,7.262479799999999
2002,40-50,female,21,Montady,Occitanie,FR,43.327762,3.117645
2002,40-50,female,21,Wald,ZH,CH,47.3114,8.913289899999997
2002,40-50,female,21,Goumoens-la-Ville,VD,CH,46.657950299999996,6.604886099999999
2002,40-50,female,21,Bern,BE,CH,46.9479739,7.447446799999999
2002,40-50,female,21,Morlon,FR,CH,46.6249096,7.084923299999999
2002,40-50,female,21,Versoix,GE,CH,46.2876938,6.165781299999999
2002,40-50,female,42,Saillon,VS,CH,46.1707092,7.1858418
2002,40-50,female,42,Meinier,GE,CH,46.2467593,6.2343577
2002,40-50,female,42,Zürich,ZH,CH,47.37688660000001,8.541694
2002,40-50,female,42,Dijon,Bourgogne-Franche-Comté,FR,47.322047,5.04148
2002,40-50,female,42,Langenthal,BE,CH,47.21207860000001,7.790562299999999
2002,40-50,female,42,Solothurn,SO,CH,47.2088348,7.5322910000000025
2002,40-50,female,42,Glarus,GL,CH,47.0411232,9.0679
2002,40-50,female,42,Le Locle,NE,CH,47.0577195,6.748735400000001
2002,40-50,female,42,Onhaye,Wallonie,BE,50.2400205,4.7612111
2002,40-50,female,42,Zürich,ZH,CH,47.37688660000001,8.541694
2002,40-50,male,10,Pontarlier,Bourgogne-Franche-Comté,FR,46.904103899999996,6.3542419999999975
2002,40-50,male,10,Lancy,GE,CH,46.188516799999995,6.1144545999999975
2002,40-50,male,10,Sion,VS,CH,46.2331221,7.360625999999999
2002,40-50,male,10,Nendaz,VS,CH,46.1834441,7.2942353
2002,40-50,male,10,Ollon,VD,CH,46.30084,7.0428400999999985
2002,40-50,male,10,Rovray,VD,CH,46.7847622,6.7645655
2002,40-50,male,10,Tolochenaz,VD,CH,46.5047412,6.473300599999999
2002,40-50,male,10,Lancy,GE,CH,46.188516799999995,6.1144545999999975
2002,40-50,male,10,Port-Valais,VS,CH,46.3835529,6.8549751999999975
2002,40-50,male,10,Gland,VD,CH,46.4203001,6.2698809
2002,40-50,male,21,Visperterminen,VS,CH,46.26013,7.90302
2002,40-50,male,21,Gorizia,Friuli-Venezia Giulia,IT,45.94018120000001,13.6201754
2002,40-50,male,21,Vonges,Bourgogne-Franche-Comté,FR,47.294993,5.402763999999999
2002,40-50,male,21,Crissier,VD,CH,46.55186870000001,6.5743458
2002,40-50,male,21,Collonge-Bellerive,GE,CH,46.251402399999996,6.2022904
2002,40-50,male,21,Vouvry,VS,CH,46.3363829,6.891011199999999
2002,40-50,male,21,Lausanne,VD,CH,46.5196535,6.6322734
2002,40-50,male,21,Châtel-Saint-Denis,FR,CH,46.5269159,6.9010894999999985
2002,40-50,male,21,Belfaux,FR,CH,46.8221516,7.1043531
2002,40-50,male,21,Chexbres,VD,CH,46.481691999999995,6.778807799999999
2002,40-50,male,42,Lorient,Brittany,FR,47.7482524,-3.3702449
2002,40-50,male,42,Schattdorf,UR,CH,46.8642346,8.648159399999999
2002,40-50,male,42,Bad Zurzach,AG,CH,47.5877895,8.293324799999999
2002,40-50,male,42,Webb City,MO,US,37.14077959999999,-94.4782676
2002,40-50,male,42,Muotathal,SZ,CH,46.97401710000001,8.762247300000002
2002,40-50,male,42,Münsingen,BE,CH,46.8746813,7.5627527999999975
2002,40-50,male,42,Le Chenit,VD,CH,46.605779999999996,6.2325099999999996
2002,40-50,male,42,Frauenfeld,TG,CH,47.55359970000001,8.8987541
2002,40-50,male,42,Wilen,TG,CH,47.451539600000004,9.034385400000001
2002,40-50,male,42,Stuttgart,BW,DE,48.7758459,9.1829321
2002,other,female,10,Vers-chez-Perrin (Vaud),VD,CH,46.79701470000001,6.9417782999999975
2002,other,female,10,La Chaux-de-Fonds,NE,CH,47.10348920000001,6.832783800000001
2002,other,female,10,Obersteckholz,BE,CH,47.19953599999999,7.8183107000000005
2002,other,female,10,Chexbres,VD,CH,46.481691999999995,6.778807799999999
2002,other,female,10,Martigny,VS,CH,46.104979799999995,7.0755333999999985
2002,other,female,10,Vétroz,VS,CH,46.2257544,7.2819705999999975
2002,other,female,10,Sion,VS,CH,46.2331221,7.360625999999999
2002,other,female,10,Renens,VD,CH,46.533809999999995,6.5913699999999995
2002,other,female,10,Saint-Antoine,NB,CA,46.362916999999996,-64.75266739999999
2002,other,female,10,Lausanne,VD,CH,46.5196535,6.6322734
2002,other,female,21,Rolle,VD,CH,46.4612971,6.339754900000001
2002,other,female,21,Langnau am Albis,ZH,CH,47.28812,8.53783
2002,other,female,21,Bülach,ZH,CH,47.5160671,8.5419603
2002,other,female,21,Urdorf,ZH,CH,47.3867071,8.420693
2002,other,female,21,Zollikofen,BE,CH,46.998256299999994,7.4513399000000025
2002,other,female,21,Morges,VD,CH,46.50881270000001,6.4961300999999985
2002,other,female,21,Romont,FR,CH,46.691887,6.9118086
2002,other,female,21,Geneva,GE,CH,46.2043907,6.1431577000000015
2002,other,female,21,Ebikon,LU,CH,47.081318100000004,8.3407402
2002,other,female,21,Münchringen,BE,CH,47.0461789,7.520690400000001
2002,other,female,42,Burgdorf,ID,US,45.277122999999996,-115.9129022
2002,other,female,42,Viriat,Auvergne-Rhône-Alpes,FR,46.25320900000001,5.216721
2002,other,female,42,Muri,AG,CH,47.2735792,8.341556599999999
2002,other,female,42,Montreux,VD,CH,46.4458626,6.9100661999999975
2002,other,female,42,Quetigny,Bourgogne-Franche-Comté,FR,47.312494,5.117044
2002,other,female,42,Udligenswil,LU,CH,47.0905768,8.4016959
2002,other,female,42,Velleron,Provence-Alpes-Côte d'Azur,FR,43.95647,5.029955
2002,other,female,42,Sion,VS,CH,46.253260299999994,7.4169069000000025
