POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
502-00150,-,0,Grey,SS,N,N,SFMTA,ON,0,15,JONES ST,7563000,Area 2,,"(37.7815728997, -122.4121827015)"
470-10860,-,0,Grey,SS,N,N,SFMTA,ON,0,1086,HOWARD ST,7046000,Area 2,,"(37.7782858972, -122.4091389027)"
205-03480,-,0,Yellow,SS,N,N,SFMTA,ON,0,348,05TH ST,301000,Area 5,South Embarcadero,"(37.7793261026, -122.4023659003)"
205-03540,-,0,Grey,SS,N,N,SFMTA,ON,0,354,05TH ST,301000,Area 5,South Embarcadero,"(37.7792034027, -122.4022119974)"
470-08230,-,0,Grey,SS,N,N,SFMTA,ON,0,823,HOWARD ST,7039001,Area 5,Downtown,"(37.7827097987, -122.4032534991)"
686-03170,-,0,Yellow,SS,N,N,SFMTA,ON,0,317,TURK ST,12719000,Area 2,,"(37.7826441013, -122.4147782025)"
440-05130,-,0,Yellow,SS,N,N,SFMTA,ON,0,513,GEARY ST,6112000,Area 2,,"(37.7868063980, -122.4120858011)"
440-05880,-,0,Yellow,SS,N,N,SFMTA,ON,0,588,GEARY ST,6113000,Area 2,,"(37.7868578014, -122.4126678013)"
568-11050,-,0,Yellow,SS,N,N,SFMTA,ON,0,1105,MISSION ST,9101000,Area 2,,"(37.7790020023, -122.4110650026)"
470-08470,-,0,Grey,SS,N,N,SFMTA,ON,0,847,HOWARD ST,7039001,Area 5,Downtown,"(37.7823103004, -122.4037591011)"
206-01540,-,0,Grey,SS,N,N,SFMTA,ON,0,154,06TH ST,331000,Area 2,,"(37.7798624997, -122.4074668025)"
206-01560,-,0,Grey,SS,N,N,SFMTA,ON,0,156,06TH ST,331000,Area 2,,"(37.7798237027, -122.4074181986)"
401-03100,-,0,Yellow,SS,N,N,SFMTA,ON,0,310,ELLIS ST,5173000,Area 2,,"(37.7850797986, -122.4116026011)"
206-02070,-,0,Grey,SS,N,N,SFMTA,ON,0,207,06TH ST,332000,Area 2,,"(37.7795990051, -122.4068316165)"
442-00090,-,0,Grey,SS,N,N,SFMTA,ON,0,9,GOLDEN GATE AVE,6259000,Area 2,,"(37.7821695012, -122.4109299981)"
442-00220,-,0,Yellow,SS,N,N,SFMTA,ON,0,22,GOLDEN GATE AVE,6259000,Area 2,,"(37.7822493975, -122.4113632978)"
442-01110,-,0,Yellow,SS,N,N,SFMTA,ON,0,111,GOLDEN GATE AVE,6260000,Area 2,,"(37.7819524377, -122.4126550164)"
470-10100,-,0,Grey,SS,N,N,SFMTA,ON,0,1010,HOWARD ST,7043000,Area 2,,"(37.7795084984, -122.4075927992)"
470-10280,-,0,Grey,SS,N,N,SFMTA,ON,0,1028,HOWARD ST,7044000,Area 2,,"(37.7792220999, -122.4079549980)"
442-02320,-,0,Grey,SS,N,N,SFMTA,ON,0,232,GOLDEN GATE AVE,6262000,Area 2,,"(37.7818021000, -122.4148789027)"
470-10600,-,0,Grey,SS,N,N,SFMTA,ON,0,1060,HOWARD ST,7045000,Area 2,,"(37.7786848982, -122.4086343010)"
470-10920,-,0,Grey,SS,N,N,SFMTA,ON,0,1092,HOWARD ST,7046000,Area 2,,"(37.7781682991, -122.4092875977)"
568-09420,-,0,Yellow,SS,N,N,SFMTA,ON,0,942,MISSION ST,9099000,Area 2,,"(37.7820267015, -122.4074917023)"
502-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,JONES ST,7566000,Area 2,,"(37.7847345983, -122.4126773008)"
502-04070,-,0,Grey,SS,N,N,SFMTA,ON,0,407,JONES ST,7567000,Area 2,,"(37.7850899015, -122.4129057021)"
502-04110,-,0,Grey,SS,N,N,SFMTA,ON,0,411,JONES ST,7567000,Area 2,,"(37.7852138978, -122.4129307975)"
568-09880,-,0,Yellow,SS,N,N,SFMTA,ON,0,988,MISSION ST,9099000,Area 2,,"(37.7812177026, -122.4085154009)"
568-10150,-,0,Grey,SS,N,N,SFMTA,ON,0,1015,MISSION ST,9100000,Area 2,,"(37.7806175974, -122.4090218020)"
686-01400,-,0,Grey,SS,N,N,SFMTA,ON,0,140,TURK ST,12717000,Area 2,,"(37.7831045975, -122.4121084993)"
470-11060,-,0,Grey,SS,N,N,SFMTA,ON,0,1106,HOWARD ST,7047000,Area 2,,"(37.7778233000, -122.4097238981)"
661-01600,-,0,Yellow,SS,N,N,SFMTA,ON,0,160,STEVENSON ST,12167000,Area 5,Downtown,"(37.7874450990, -122.4025716984)"
444-00150,-,0,Yellow,SS,N,N,SFMTA,ON,0,15,GRANT AVE,6381000,Area 5,Downtown,"(37.7873646998, -122.4050295015)"
568-09730,-,0,Grey,SS,N,N,SFMTA,ON,0,973,MISSION ST,9099000,Area 2,,"(37.7813801997, -122.4080523008)"
418-09100,-,0,Grey,SS,N,N,SFMTA,ON,0,910,FOLSOM ST,5665000,Area 2,,"(37.7800939017, -122.4037600008)"
